Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
19,-1.117188,294,9023,8644,10707,306.95,0.286,285,114,272,21.8,35.34717667,-117.8153767,12,6,17,46,0.8,1184028,8880,-68
19.2,-1.117188,287,9081,8700,10763,300.47,0.28,278,114,272,22.3,35.34718,-117.8154533,12,6,17,46,1,1184048,8940,-69
19.4,-1.117188,280,9138,8756,10819,293.62,0.273,271,113,272,22.63,35.34718167,-117.81553,12,6,17,46,1.2,1184068,9000,-69
19.6,-1.117188,273,9193,8809,10872,288.09,0.268,265,113,272,23.09,35.347185,-117.815605,12,6,17,46,1.4,1184088,9056,-70
19.8,-1.058594,266,9247,8862,10925,281.66,0.262,258,113,273,23.65,35.34718667,-117.8156817,12,6,17,46,1.6,1184108,9113,-71
20,-1.117188,259,9300,8913,10976,274.85,0.256,251,112,273,24.05,35.34719,-117.8157567,12,6,17,46,1.8,1184128,9168,-72
20.19,-1.117188,252,9348,8962,11025,268.48,0.25,244,112,273,24.66,35.34719333,-117.8158317,12,6,17,46,2,1184147,9221,-73
20.4,-1.058594,245,9401,9010,11073,263.04,0.245,238,112,273,25.2,35.347195,-117.8159067,12,6,17,46,2.2,1184168,9273,-75
20.6,-1.117188,238,9449,9058,11121,256.28,0.239,231,111,273,25.67,35.34719833,-117.81598,12,6,17,46,2.4,1184188,9325,-75
20.8,-1.058594,231,9496,9103,11166,249.99,0.233,224,111,273,26.36,35.34720167,-117.816055,12,6,17,46,2.6,1184208,9374,-74
21,-1.117188,224,9542,9148,11211,243.74,0.227,217,111,273,27.09,35.34720333,-117.8161283,12,6,17,46,2.8,1184228,9423,-73
21.2,-1.058594,217,9586,9191,11254,237.95,0.222,211,110,273,27.53,35.34720667,-117.8162033,12,6,17,46,3,1184248,9470,-73
21.4,-1.058594,211,9629,9232,11295,231.77,0.216,204,110,273,28.33,35.34721,-117.8162767,12,6,17,46,3.2,1184268,9515,-71
