Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
9.20,-1.378906,494.00,4174.00,3805.00,5884.00,490.62,0.449,454.00,186.00,286,22.28,35.34785833,-117.81287333,11,6,22,48,4.40,339216,4047,-62
9.40,-1.320312,485.00,4272.00,3895.00,5974.00,482.85,0.442,446.00,185.00,286,22.53,35.34788500,-117.81299333,11,6,22,48,4.60,339236,4144,-65
9.60,-1.140625,477.00,4368.00,3984.00,6063.00,475.47,0.435,438.00,185.00,286,22.90,35.34791333,-117.81311333,11,6,22,48,4.80,339256,4241,-70
9.80,-1.199219,469.00,4463.00,4070.00,6149.00,467.71,0.428,430.00,184.00,286,23.17,35.34794000,-117.81323167,11,6,22,48,5.00,339276,4334,-65
10.00,-1.320312,462.00,4556.00,4156.00,6235.00,459.97,0.421,422.00,183.00,286,23.44,35.34796833,-117.81335000,11,6,22,48,5.20,339296,4427,-64
10.20,-1.320312,453.00,4648.00,4240.00,6319.00,452.64,0.415,414.00,183.00,286,23.85,35.34799500,-117.81346833,11,6,22,48,5.40,339316,4518,-62
10.40,-1.320312,445.00,4738.00,4322.00,6401.00,445.84,0.408,407.00,182.00,286,24.09,35.34802167,-117.81358667,11,6,22,48,5.60,339336,4608,-60
10.60,-1.320312,438.00,4826.00,4402.00,6481.00,438.55,0.402,399.00,182.00,286,24.52,35.34804833,-117.81370333,11,6,22,48,5.80,339356,4695,-61
10.80,-1.320312,430.00,4913.00,4481.00,6560.00,430.86,0.395,391.00,181.00,286,24.84,35.34807500,-117.81382167,11,6,22,48,6.00,339376,4782,-65
11.00,-1.257812,422.00,4998.00,4559.00,6638.00,424.52,0.389,384.00,181.00,285,25.24,35.34810167,-117.81393833,11,6,22,48,6.20,339396,4868,-70
11.20,-1.199219,414.00,5082.00,4635.00,6714.00,416.86,0.382,376.00,180.00,285,25.58,35.34812833,-117.81405500,11,6,22,48,6.40,339416,4951,-65
11.40,-1.199219,407.00,5164.00,4710.00,6789.00,410.12,0.376,369.00,179.00,285,25.88,35.34815500,-117.81417000,11,6,22,48,6.60,339436,5034,-65
11.60,-1.140625,399.00,5245.00,4783.00,6862.00,402.94,0.370,361.00,179.00,285,26.37,35.34818167,-117.81428667,11,6,22,48,6.80,339456,5115,-62
11.80,-1.199219,391.00,5324.00,4855.00,6934.00,396.68,0.364,354.00,179.00,285,26.82,35.34820833,-117.81440167,11,6,22,48,7.00,339476,5194,-60
12.00,-1.140625,384.00,5402.00,4925.00,7004.00,389.99,0.358,347.00,178.00,285,27.16,35.34823333,-117.81451667,11,6,22,48,7.20,339496,5272,-61
12.20,-1.140625,376.00,5478.00,4994.00,7073.00,382.89,0.352,339.00,178.00,285,27.70,35.34826000,-117.81463167,11,6,22,48,7.40,339516,5349,-61
12.40,-1.199219,369.00,5553.00,5061.00,7140.00,376.24,0.346,332.00,177.00,285,28.06,35.34828500,-117.81474667,11,6,22,48,7.60,339536,5425,-62
12.60,-1.140625,361.00,5626.00,5126.00,7205.00,369.20,0.339,324.00,177.00,285,28.65,35.34831167,-117.81486000,11,6,22,48,7.80,339556,5498,-63
12.80,-1.257812,354.00,5697.00,5191.00,7270.00,363.07,0.334,317.00,177.00,285,29.18,35.34833667,-117.81497500,11,6,22,48,8.00,339576,5571,-65
13.00,-1.199219,346.00,5768.00,5253.00,7332.00,356.10,0.327,309.00,177.00,285,29.80,35.34836167,-117.81509000,11,6,22,48,8.20,339596,5641,-65
13.20,-1.199219,339.00,5836.00,5315.00,7394.00,350.41,0.322,303.00,176.00,285,30.15,35.34838667,-117.81520333,11,6,22,48,8.40,339616,5712,-67
13.40,-1.140625,332.00,5903.00,5375.00,7454.00,343.86,0.316,296.00,175.00,285,30.59,35.34841000,-117.81531833,11,6,22,48,8.60,339636,5781,-65
13.60,-1.140625,324.00,5969.00,5433.00,7512.00,337.34,0.310,289.00,174.00,284,31.05,35.34843500,-117.81543167,11,6,22,48,8.80,339656,5847,-62
13.80,-1.140625,317.00,6034.00,5490.00,7569.00,331.36,0.305,282.00,174.00,284,31.68,35.34845833,-117.81554500,11,6,22,48,9.00,339676,5913,-62
14.00,-1.140625,310.00,6096.00,5546.00,7625.00,324.04,0.298,274.00,173.00,285,32.27,35.34848167,-117.81565667,11,6,22,48,9.20,339696,5978,-63
14.20,-1.140625,302.00,6158.00,5600.00,7679.00,317.61,0.292,267.00,172.00,285,32.79,35.34850667,-117.81576833,11,6,22,48,9.40,339716,6040,-66
14.40,-1.082031,295.00,6218.00,5653.00,7732.00,311.74,0.287,260.00,172.00,285,33.49,35.34853000,-117.81588000,11,6,22,48,9.60,339736,6102,-67
14.60,-1.140625,288.00,6276.00,5704.00,7783.00,305.93,0.282,253.00,172.00,285,34.21,35.34855500,-117.81599167,11,6,22,48,9.80,339756,6163,-71
14.80,-1.082031,281.00,6333.00,5754.00,7833.00,300.17,0.276,246.00,172.00,285,34.96,35.34857833,-117.81610333,11,6,22,48,10.00,339776,6222,-68
15.00,-1.140625,274.00,6389.00,5803.00,7882.00,294.46,0.271,239.00,172.00,285,35.74,35.34860167,-117.81621500,11,6,22,48,10.20,339796,6280,-64
